analysis_type,fit_scope,condition,K,archetype,mean_accuracy,sem_accuracy,std_accuracy,count,rank_mean,error_mean
spatial,within,intact,100,36,0.005583333333333333,0.0005519648921491675,0.003490932495281123,40,0.5660638888888888,0.3402077777777778
spatial,within,intact,100,37,0.007000000000000001,0.0007141228955659593,0.004516509758525979,40,0.5536183333333333,0.3481488888888889
spatial,within,intact,100,38,0.00375,0.0005621932528599516,0.003555622328432836,40,0.5521919444444444,0.347685
spatial,within,intact,100,39,0.004083333333333333,0.0005131809630673188,0.003245641390262953,40,0.57247,0.3304875
spatial,within,intact,100,40,0.007833333333333335,0.000787635937708768,0.004981447060324421,40,0.582725,0.3269669444444444
spatial,within,intact,100,41,0.005416666666666668,0.0006503067433133847,0.004112900973273538,40,0.5600447222222222,0.3322922222222222
spatial,within,intact,100,42,0.008666666666666666,0.000673046397354189,0.0042567191732199245,40,0.5905958333333334,0.3445033333333333
spatial,within,intact,100,43,0.0036666666666666666,0.0005699002761767401,0.0036043658237549904,40,0.5289516666666667,0.3407961111111111
spatial,within,intact,100,44,0.0042499999999999994,0.000584553059355846,0.0036970381615681453,40,0.5467447222222223,0.33682138888888885
spatial,within,intact,100,45,0.0069166666666666664,0.0007394798741889357,0.004676881372583591,40,0.5855513888888888,0.35535249999999996
spatial,within,intact,100,46,0.005083333333333334,0.0005722388181146617,0.003619156061610303,40,0.5357538888888889,0.3207122222222222
spatial,within,intact,100,47,0.004333333333333333,0.0005623515948579822,0.003556623771158913,40,0.5693983333333333,0.34209638888888894
spatial,within,intact,100,48,0.00925,0.001009128562592723,0.006382289419449593,40,0.6104730555555558,0.3407474999999999
spatial,within,intact,100,49,0.006333333333333334,0.0008077262236808042,0.005108509185355949,40,0.5841563888888889,0.34949805555555546
spatial,within,intact,100,50,0.00475,0.000652493573338361,0.004126731700742675,40,0.5279030555555554,0.34893472222222216
spatial,within,intact,100,51,0.006666666666666666,0.0008006407690254356,0.005063696835418333,40,0.5940166666666667,0.3264880555555555
spatial,within,intact,100,52,0.0035000000000000005,0.0004614791034954486,0.0029186501192363773,40,0.5738000000000001,0.3199172222222222
spatial,within,intact,100,53,0.005333333333333333,0.0007529618628798984,0.004762148955887739,40,0.5681466666666666,0.3297819444444444
spatial,within,intact,100,54,0.00625,0.0006978548735241622,0.004413621753170176,40,0.5656255555555556,0.3352713888888889
spatial,within,intact,100,55,0.004833333333333334,0.0005591762357951763,0.003536541037104265,40,0.5191952777777777,0.32587055555555555
spatial,within,intact,100,56,0.005833333333333334,0.0006618415127764261,0.0041858532608498745,40,0.5412433333333334,0.35404388888888894
spatial,within,intact,100,57,0.006,0.0006877023141843227,0.004349411329982359,40,0.5466527777777779,0.3139402777777777
spatial,within,intact,100,58,0.005666666666666667,0.0005871365639519861,0.0037133776793067774,40,0.5528752777777779,0.33485833333333326
spatial,within,intact,100,59,0.00525,0.0006188802957865281,0.003914142667368273,40,0.5838463888888888,0.3292283333333333
spatial,within,intact,100,60,0.003166666666666666,0.0005462902602399647,0.0034550429718488217,40,0.5613150000000001,0.33627444444444443
spatial,within,intact,100,61,0.00475,0.0005954181656808868,0.0037657551275822065,40,0.5469488888888889,0.3509294444444444
spatial,within,intact,100,62,0.0055,0.000626458412386762,0.003962070885030415,40,0.5548627777777778,0.3427097222222222
