analysis_type,fit_scope,condition,K,archetype,mean_accuracy,sem_accuracy,std_accuracy,count,rank_mean,error_mean
temporal,within,intact,25,4,0.008666666666666666,0.0007141228955659593,0.004516509758525979,40,0.6492697222222225,0.3424216666666666
temporal,within,intact,25,5,0.007666666666666666,0.0005495400822454191,0.0034755966509035655,40,0.6615497222222222,0.30474972222222213
temporal,within,intact,25,6,0.00975,0.0005894067228156503,0.003727735424625975,40,0.6554516666666668,0.3265238888888888
temporal,within,intact,25,7,0.011333333333333334,0.000771648621745413,0.004880334396090479,40,0.6534825,0.3111127777777777
temporal,within,intact,25,8,0.010916666666666668,0.0006535842445105027,0.004133629710907181,40,0.6350602777777778,0.3183277777777777
temporal,within,intact,25,9,0.00925,0.0008310867152139589,0.005256253906367645,40,0.6250386111111113,0.3077774999999999
temporal,within,intact,25,10,0.008916666666666666,0.0006013695196343916,0.003803394794892053,40,0.6116747222222223,0.32201944444444447
temporal,within,intact,25,11,0.008416666666666666,0.0006958106219744146,0.004400692771155113,40,0.6510244444444446,0.31024166666666664
temporal,within,intact,25,12,0.010416666666666668,0.000737551002630653,0.004664682117707407,40,0.6102436111111113,0.3258344444444443
temporal,within,intact,25,13,0.008666666666666666,0.0007898934256794544,0.004995724667880022,40,0.6257741666666667,0.31845222222222214
temporal,within,intact,25,14,0.008000000000000002,0.0006515377383555186,0.004120686469516575,40,0.6339663888888889,0.31269222222222226
temporal,within,intact,25,15,0.005666666666666667,0.0006449452813645634,0.0040789921105803375,40,0.6014900000000001,0.3213961111111111
temporal,within,intact,25,16,0.009416666666666667,0.0007906820237478923,0.005000712199989368,40,0.6106816666666669,0.320348611111111
temporal,within,intact,25,17,0.007916666666666666,0.0006165742596507071,0.003899558014256578,40,0.6228241666666667,0.31409833333333326
temporal,within,intact,25,18,0.0085,0.0007730319188612767,0.004889083135224221,40,0.6007366666666667,0.30678777777777766
temporal,within,intact,25,19,0.00925,0.0006142595663193327,0.0038849186082326862,40,0.6003219444444444,0.30649
temporal,within,intact,25,20,0.007250000000000001,0.0004757285610699276,0.0030087716019509612,40,0.5823183333333335,0.3306719444444445
temporal,within,intact,25,21,0.005166666666666667,0.0007637626158259734,0.00483045891539648,40,0.5575144444444445,0.31890694444444445
temporal,within,intact,25,22,0.007083333333333333,0.0007079875978761483,0.004477706728880036,40,0.5972458333333334,0.30282249999999994
temporal,within,intact,25,23,0.007166666666666667,0.0009514571221398553,0.006017543203901923,40,0.6447219444444444,0.30826194444444444
temporal,within,intact,25,24,0.004583333333333333,0.0005295740910852022,0.0033493206352854187,40,0.5572547222222222,0.3239130555555555
temporal,within,intact,50,0,0.006750000000000001,0.0004846283858428769,0.0030650590360687827,40,0.599155277777778,0.3585505555555555
temporal,within,intact,50,1,0.008249999999999999,0.00039562241344126846,0.0025021358397744435,40,0.6170255555555557,0.36174055555555557
temporal,within,intact,50,2,0.0069166666666666664,0.0005255237517707583,0.003323704040225084,40,0.6029716666666668,0.3724480555555555
temporal,within,intact,50,3,0.0065833333333333325,0.00027958811789758817,0.0017682705185521324,40,0.6121830555555556,0.34431527777777776
temporal,within,intact,50,4,0.008,0.0005175000172041232,0.0032729574870827014,40,0.6102722222222223,0.3446069444444445
temporal,within,intact,50,5,0.007999999999999998,0.00047441672090180913,0.003000474796236256,40,0.6010100000000002,0.3422427777777778
temporal,within,intact,50,6,0.007000000000000001,0.00047441672090180913,0.003000474796236256,40,0.6271669444444445,0.2997922222222222
temporal,within,intact,50,7,0.008916666666666666,0.0005255237517707583,0.003323704040225084,40,0.6548272222222223,0.31669
temporal,within,intact,50,8,0.008666666666666666,0.0005310850045437943,0.003358876491038526,40,0.6235644444444445,0.29752444444444437
temporal,within,intact,50,9,0.007916666666666667,0.0004574097142864882,0.0028929130420643255,40,0.6390783333333334,0.3299747222222222
temporal,within,intact,50,10,0.00775,0.0005117911677922933,0.003236851553162112,40,0.6160069444444444,0.3220897222222222
temporal,within,intact,50,11,0.008749999999999999,0.0005428570089754135,0.0034333291842975513,40,0.6401950000000001,0.32728361111111115
temporal,within,intact,50,12,0.008499999999999999,0.0007055942515803598,0.004462569877831598,40,0.6299819444444447,0.3251022222222222
temporal,within,intact,50,13,0.007666666666666666,0.0005495400822454191,0.0034755966509035655,40,0.6275313888888892,0.31580166666666665
