rank,accuracy,error,rep,fold,K,condition,reconstruction
0.7055444444444444,0.04666666666666667,0.29492222222222236,0,0,10,word,all_archetypes
0.7136888888888889,0.043333333333333335,0.29393333333333327,0,1,10,word,all_archetypes
0.6857888888888888,0.043333333333333335,0.28519999999999995,1,0,10,word,all_archetypes
0.6921222222222225,0.043333333333333335,0.3102,1,1,10,word,all_archetypes
0.6714,0.02666666666666667,0.2952888888888887,2,0,10,word,all_archetypes
0.6697555555555555,0.03333333333333333,0.30897777777777763,2,1,10,word,all_archetypes
0.7032666666666669,0.05,0.34576666666666683,3,0,10,word,all_archetypes
0.6975555555555553,0.04,0.29681111111111086,3,1,10,word,all_archetypes
0.6999555555555554,0.03666666666666667,0.3283333333333333,4,0,10,word,all_archetypes
0.6956888888888889,0.02666666666666667,0.28210000000000024,4,1,10,word,all_archetypes
0.6797111111111113,0.03333333333333333,0.31533333333333324,5,0,10,word,all_archetypes
0.6861666666666667,0.03,0.3172333333333333,5,1,10,word,all_archetypes
0.7114000000000001,0.02,0.3072444444444442,6,0,10,word,all_archetypes
0.7120666666666667,0.01,0.28948888888888863,6,1,10,word,all_archetypes
0.702744444444444,0.016666666666666666,0.33991111111111105,7,0,10,word,all_archetypes
0.6978555555555556,0.02666666666666667,0.2986222222222224,7,1,10,word,all_archetypes
0.691555555555555,0.03666666666666667,0.27148888888888884,8,0,10,word,all_archetypes
0.6975444444444443,0.043333333333333335,0.27792222222222196,8,1,10,word,all_archetypes
0.7000333333333334,0.02,0.2896888888888889,9,0,10,word,all_archetypes
0.6915999999999994,0.02,0.3280888888888888,9,1,10,word,all_archetypes
0.7190999999999999,0.023333333333333334,0.2893555555555554,10,0,10,word,all_archetypes
0.717577777777778,0.043333333333333335,0.28868888888888883,10,1,10,word,all_archetypes
0.6940444444444442,0.04666666666666667,0.29797777777777773,11,0,10,word,all_archetypes
0.6971888888888891,0.03333333333333333,0.29615555555555545,11,1,10,word,all_archetypes
0.6886444444444442,0.02666666666666667,0.29164444444444454,12,0,10,word,all_archetypes
0.6902000000000003,0.03333333333333333,0.31337777777777787,12,1,10,word,all_archetypes
0.6565777777777777,0.02666666666666667,0.31595555555555516,13,0,10,word,all_archetypes
0.6488999999999998,0.04666666666666667,0.29004444444444444,13,1,10,word,all_archetypes
0.6811999999999998,0.03333333333333333,0.29699999999999976,14,0,10,word,all_archetypes
0.6766111111111114,0.02,0.27709999999999996,14,1,10,word,all_archetypes
0.6812111111111114,0.04,0.33018888888888887,15,0,10,word,all_archetypes
0.6836000000000004,0.04,0.30124444444444454,15,1,10,word,all_archetypes
