analysis_type,fit_scope,condition,K,top_m,selected_archetypes,mean,err,std,count,rank_mean,error_mean
temporal,across,word,100,1,[22],0.0074166666666666,0.0006257474163429,0.0039575741512185,40,0.6081705555555554,0.2792988888888888
temporal,across,word,100,2,"[22, 87]",0.0084166666666666,0.000818130556108,0.005174311961363,40,0.6113169444444445,0.2920913888888888
temporal,across,word,100,3,"[22, 87, 0]",0.0115,0.0007730319188612,0.0048890831352242,40,0.6213200000000001,0.2849230555555556
temporal,across,word,100,5,"[22, 87, 0, 19, 6]",0.01775,0.0007297845367541,0.0046155626746279,40,0.6248188888888889,0.27637
temporal,across,word,100,10,"[22, 87, 0, 19, 6, 31, 63, 52, 10, 14]",0.0301666666666666,0.0012684535304749,0.0080224045247652,40,0.7103291666666667,0.2546497222222222
temporal,across,word,300,1,[50],0.007166666666666666,0.00034899122022605635,0.0022072142786315222,40,0.6100336111111111,0.3363655555555555
temporal,across,word,300,2,"[50, 266]",0.010666666666666668,0.0002721655269759087,0.001721325931647741,40,0.5399030555555555,0.30684138888888884
temporal,across,word,300,3,"[50, 266, 1]",0.01225,0.0004366979828269512,0.002761920550668525,40,0.522046388888889,0.3086472222222222
temporal,across,word,300,5,"[50, 266, 1, 0, 9]",0.017499999999999998,0.0004583818933094544,0.0028990616420763466,40,0.5190088888888889,0.3552825
temporal,across,word,300,10,"[50, 266, 1, 0, 9, 101, 63, 29, 25, 195]",0.02566666666666667,0.0006979824404521127,0.0044144285572630445,40,0.5333513888888889,0.34032111111111113
